inseecode;Libelle;Nb d'emplois au lieu de travail (LT) 2014;Taux d'activite des 15 24 ans 2014;Taux d'activite des 25 54 ans 2014;Taux d'activite des 55 64 ans 2014;Part des agriculteurs expl. dans le nb d emplois au LT 2014;Part des artisans, commercants, chefs d ent. dans le nb d emplois au LT 2014;Part des cadres et prof. intellectuelles sup. dans le nb d emplois au LT 2014;Part des ouvriers dans le nb d emplois au LT 2014
92002;Antony;22525;32.1;92.9;63.2;0;4.3;32.2;10.3
92004;Asnieres-sur-Seine;23887;38.4;91.4;64.9;0;6.3;28;11.8
92007;Bagneux;12984;41.4;91.2;66.2;0;4;33.5;14
92009;Bois-Colombes;12743;35.3;94.4;65.2;0;3.9;47.4;7.1
92012;Boulogne-Billancourt;83760;38.3;93.8;70.3;0;4.6;45.2;6
92014;Bourg-la-Reine;5491;30.9;93.2;70.7;0.1;5.9;23.9;11.6
92019;Chatenay-Malabry;8535;27.7;91.7;64.8;0;4.5;26.3;14.4
92020;Chatillon;13332;42.4;94.6;69.5;0;3.8;35.4;13.1
92022;Chaville;3514;36.1;95.1;66.8;0.1;7.1;23.4;8.8
92023;Clamart;20330;39.3;93.9;65.8;0;5.2;29;10.6
92024;Clichy;36835;43.2;92.3;66.9;0;4.5;32.5;10.7
92025;Colombes;32094;37.4;91.8;62.5;0;4.6;30.5;12.6
92026;Courbevoie;96720;35.3;93.9;67.4;0;2.3;55.9;4.4
92032;Fontenay-aux-Roses;7656;32.1;94.2;67.3;0;3.5;35.4;13.2
92033;Garches;5646;27.5;94;69.8;0.1;5;23;7.5
92035;La Garenne-Colombes;11220;36.9;95.3;67.5;0;5.6;36.6;12.3
92036;Gennevilliers;37665;43;86.1;55.4;0;2.9;29.9;20.3
92040;Issy-les-Moulineaux;53720;36.3;94.6;69.7;0;3;51.7;5.3
92044;Levallois-Perret;55398;37.6;93.9;64.3;0;4.4;46.2;5.5
92046;Malakoff;15258;40.3;93;67.4;0;4.3;37.9;11.1
92047;Marnes-la-Coquette;888;21.8;89.6;70.5;0;2.5;39.2;7.2
92048;Meudon;18984;34.9;94.3;67.1;0;4.2;47;5.6
92049;Montrouge;24657;42;94.4;68.8;0;4.6;43.7;7.4
92050;Nanterre;83003;38.9;87.8;62.6;0;2.3;38.9;10
92051;Neuilly-sur-Seine;45890;24.1;90.4;71.7;0;5.1;44.6;5
92060;Le Plessis-Robinson;13457;42.4;94.5;59.6;0;2.5;43.6;8.1
92062;Puteaux;78455;40.9;94.1;67.4;0;2.2;56;4.4
92063;Rueil-Malmaison;44733;30.9;94.8;66.7;0;3.9;40.2;7.5
92064;Saint-Cloud;17131;27.3;93;72.1;0;4.3;41.5;5.7
92071;Sceaux;5805;24.8;93.3;70.9;0;5.8;29.4;7.6
92072;Savres;10382;30.9;94.5;69.5;0;4.2;39.5;6.5
92073;Suresnes;29415;37.2;93.7;66;0;4;42.6;6.6
92075;Vanves;7755;33.9;94.7;67.1;0;5.8;30.5;7.9
92076;Vaucresson;2731;20.5;93.3;72.6;0;5.9;26.5;6.7
92077;Ville-d'Avray;1892;23.7;94.2;72.3;0;7.5;27.1;8.5
92078;Villeneuve-la-Garenne;9039;41.8;86.9;57.3;0;3.8;15;22.6
